Source Domain,Page URL,Error Code,Asset Type
http://eschoolapp.in,https://eschoolapp.in/blog/how-to-conduct-efficient-online-classes/,0,unknown
http://eschoolapp.in,https://eschoolapp.in/blog/pricing-school-custom-android-ios-application-with-erp/,0,unknown
http://eschoolapp.in,https://eschoolapp.in/best-school-management-software/notification/,0,unknown
http://gihshyd.com,https://gihshyd.com/xmlrpc.php,405,unknown
http://gihshyd.com,https://gihshyd.com/admissions-2023/,404,unknown
http://gihshyd.com,https://forms.gle/XvR53BvNwWADCEad7,410,unknown
http://gihshyd.com,http://gihshyd.com/admissions-2023/,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/7.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/Aspirers.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/Explorers.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/6.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/8.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/9.jpg,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/Mission-01.png,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/infrastructure-1.png,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/Standards-1.png,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/Vision-1.png,404,unknown
http://gihshyd.com,https://gihshyd.com/wp-content/uploads/2023/04/sports-1.png,404,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/1-7.jpg,0,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/2-9.jpg,0,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/studying.jpg,0,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/acheivements.jpg,0,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/sports.jpg,0,unknown
http://gihshyd.com,https://wp.eschoolapp.in/gihshyd/wp-content/uploads/sites/63/revslider/slider-1/admission21.jpg,0,unknown
http://gurukulvbs.com,https://gurukulvbs.com/xmlrpc.php,405,unknown
